City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
leningradskiy,69.38,178.42,-10.23,85,68,3.27,RU,1609205529
qaanaaq,77.48,-69.36,22.37,91,100,9.37,GL,1609205529
saskylakh,71.92,114.08,-15.36,87,100,21.65,RU,1609205529
sakakah,29.97,40.21,44.6,87,40,3.36,SA,1609205529
punta arenas,-53.15,-70.92,50,71,99,10.29,CL,1609205529
cape town,-33.93,18.42,64.99,77,20,5.82,ZA,1609205482
hithadhoo,-0.6,73.08,81.99,77,15,10.31,MV,1609205529
bluff,-46.6,168.33,60.46,65,4,12.71,NZ,1609205529
yellowknife,62.46,-114.35,3.2,84,90,6.93,CA,1609205409
sinnamary,5.38,-52.95,78.03,87,30,8.59,GF,1609205530
hirara,24.8,125.28,73.4,83,75,5.82,JP,1609205530
ancud,-41.87,-73.82,63,82,0,8.05,CL,1609205530
rikitea,-23.12,-134.97,78.58,78,100,16.06,PF,1609205530
new norfolk,-42.78,147.06,69.01,57,100,5.99,AU,1609205530
salinopolis,-0.61,-47.36,80.73,76,87,13.22,BR,1609205470
itoman,26.12,127.67,73.4,73,75,5.82,JP,1609205530
solano,38.23,-121.95,55.4,58,90,3.36,US,1609205531
bambous virieux,-20.34,57.76,77,73,75,6.93,MU,1609205531
homer,59.64,-151.55,42.8,60,40,3.36,US,1609205531
malanje,-9.54,16.34,63.3,99,100,3.56,AO,1609205425
ixtapa,20.7,-105.2,70,88,5,2.24,MX,1609205240
hami,42.8,93.45,12.43,74,0,5.5,CN,1609205532
athabasca,54.72,-113.29,21.2,85,0,13.87,CA,1609205447
albany,42.6,-73.97,39.99,67,98,8.41,US,1609205365
camacha,33.08,-16.33,60.8,63,75,9.17,PT,1609205532
riyadh,24.69,46.72,46.4,81,0,5.26,SA,1609205304
taraz,42.9,71.37,19.4,92,0,8.95,KZ,1609205532
busselton,-33.65,115.33,81,42,86,1.99,AU,1609205532
kahului,20.89,-156.47,84.2,51,20,10.29,US,1609205412
jamestown,42.1,-79.24,28.99,79,90,7.09,US,1609205533
mataura,-46.19,168.86,78.03,35,13,3.36,NZ,1609205533
voi,-3.39,38.56,70.21,90,98,4.09,KE,1609205533
carnarvon,-24.87,113.63,82.4,78,75,6.93,AU,1609205533
itarema,-2.92,-39.92,79.83,77,14,16.37,BR,1609205533
puerto ayora,-0.74,-90.35,73.99,93,60,4,EC,1609205533
bozova,37.36,38.53,41,48,0,4.7,TR,1609205533
campos,-21.75,-41.3,73.29,89,100,7.09,BR,1609205403
srednekolymsk,67.45,153.68,-34.19,80,71,4.05,RU,1609205534
pokhara,28.23,83.98,52.32,32,0,4,NP,1609205534
barrow,71.29,-156.79,-0.4,77,40,9.17,US,1609205534
ballina,-28.87,153.57,84.2,58,40,14.99,AU,1609205534
reitz,-27.8,28.43,61.63,85,6,4.88,ZA,1609205534
bredasdorp,-34.53,20.04,64.4,77,88,2.24,ZA,1609205534
chokurdakh,70.63,147.92,-36.9,84,27,4.85,RU,1609205534
lata,40.16,-8.33,54,71,75,9.17,PT,1609205535
padang,-0.95,100.35,76.33,85,100,5.19,ID,1609205286
vila velha,-20.33,-40.29,77,83,75,5.82,BR,1609205535
iqaluit,63.75,-68.51,5,65,75,25.28,CA,1609205535
severo-kurilsk,50.68,156.12,21.22,95,100,41.25,RU,1609205535
tuatapere,-46.13,167.68,71.8,30,94,2.86,NZ,1609205535
mar del plata,-38,-57.56,69.8,83,75,11.41,AR,1609205448
valparaiso,-33.04,-71.63,59,93,90,6.93,CL,1609205536
longyearbyen,78.22,15.64,28.4,74,75,32.21,SJ,1609205536
mahebourg,-20.41,57.7,77,73,75,6.93,MU,1609205536
cabo san lucas,22.89,-109.91,75.2,77,5,11.41,MX,1609205536
visnes,59.36,5.22,42.01,86,95,3.36,NO,1609205536
hermanus,-34.42,19.23,64.99,84,86,6.46,ZA,1609205537
izumo,35.37,132.77,42.8,81,75,6.93,JP,1609205537
banikoara,11.3,2.44,66.87,24,0,5.57,BJ,1609205537
atuona,-9.8,-139.03,78.91,72,1,15.23,PF,1609205537
port blair,11.67,92.75,80.6,78,40,3.36,IN,1609205537
tuktoyaktuk,69.45,-133.04,-5.8,76,75,1.48,CA,1609205537
provideniya,64.38,-173.3,24.8,85,90,22.37,RU,1609205537
nehe,48.48,124.83,-7.4,78,0,8.41,CN,1609205529
naze,28.37,129.48,71.6,73,75,13.87,JP,1609205537
ilulissat,69.22,-51.1,26.6,68,97,8.05,GL,1609205538
raudeberg,61.99,5.14,42.01,61,99,9.22,NO,1609205538
georgetown,5.41,100.34,82.4,78,20,4.7,MY,1609205538
victoria,22.29,114.16,69.01,78,4,8.39,HK,1609205490
isangel,-19.55,169.27,84.2,79,90,11.41,VU,1609205538
otane,-39.88,176.63,61,65,100,5.99,NZ,1609205538
ermelo,-26.53,29.98,60.21,97,31,3.67,ZA,1609205538
hay river,60.82,-115.8,6.8,84,0,4.7,CA,1609205331
kaeo,-35.1,173.78,75,40,0,8.99,NZ,1609205538
yumen,40.28,97.2,5.94,77,45,6.42,CN,1609205539
vaini,-21.2,-175.2,84.2,79,75,8.05,TO,1609205539
hofn,64.25,-15.21,26.55,86,100,19.62,IS,1609205539
goure,13.98,10.27,66,24,0,8.99,NE,1609205539
kapaa,22.08,-159.32,80.6,69,20,5.82,US,1609205506
codrington,-38.27,141.97,66.88,67,57,13.04,AU,1609205539
los llanos de aridane,28.66,-17.92,66.2,72,75,8.05,ES,1609205539
avarua,-21.21,-159.78,84.2,70,39,11.41,CK,1609205253
dvinskoy,62.15,45.12,-4.9,90,0,3.31,RU,1609205540
clyde river,70.47,-68.59,1.4,84,92,8.05,CA,1609205540
palmer,42.16,-72.33,44.6,91,75,8.05,US,1609205363
east london,-33.02,27.91,72.57,86,24,14.61,ZA,1609205540
hovd,48.01,91.64,-12.51,85,0,1.03,MN,1609205540
houston,29.76,-95.36,66.99,77,20,14.99,US,1609205362
chuy,-33.7,-53.46,65.1,94,0,5.35,UY,1609205540
nikolskoye,59.7,30.79,27,79,40,13.42,RU,1609205540
ambon,-3.7,128.18,87.8,66,40,4.7,ID,1609205540
luderitz,-26.65,15.16,59,82,88,16.11,NA,1609205375
grand gaube,-20.01,57.66,73.99,83,100,1.99,MU,1609205541
tiksi,71.69,128.87,-8.57,91,100,9.44,RU,1609205541
thompson,55.74,-97.86,6.8,92,90,12.75,CA,1609205541
quelimane,-17.88,36.89,80.01,88,75,5.82,MZ,1609205541
ginir,7.13,40.7,57.45,64,56,3.56,ET,1609205541
hilo,19.73,-155.09,82.4,58,1,12.75,US,1609205412
pangnirtung,66.15,-65.71,10.4,72,75,5.82,CA,1609205541
bosaso,11.28,49.18,75.52,82,17,12.66,SO,1609205541
touros,-5.2,-35.46,77,83,20,5.82,BR,1609205279
torbay,47.67,-52.73,24.8,85,20,4.7,CA,1609205364
dikson,73.51,80.55,-25.73,86,73,9.24,RU,1609205542
guider,9.93,13.95,69.87,26,28,6.22,CM,1609205542
