City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
ushuaia,-54.8,-68.3,53.6,54,75,8.05,AR,1609901907
hofn,64.2539,-15.2082,36.91,79,100,9.53,IS,1609901907
albany,42.6001,-73.9662,32,81,89,4.54,US,1609901907
tazovskiy,67.4667,78.7,-14.28,89,80,12.5,RU,1609901907
jamestown,42.097,-79.2353,33.01,92,90,5.82,US,1609901907
nouadhibou,20.931,-17.0347,66.2,88,100,6.46,MR,1609901908
bluff,-46.6,168.3333,68,76,79,7,NZ,1609901908
rikitea,-23.1203,-134.9692,77.54,71,83,10.13,PF,1609901908
puerto ayora,-0.7393,-90.3518,73,92,78,1.99,EC,1609901908
kahului,20.8947,-156.47,82.4,51,40,23.04,US,1609901908
hermanus,-34.4187,19.2345,64,94,70,5.75,ZA,1609901908
kodiak,57.79,-152.4072,37.4,86,90,11.41,US,1609901908
atuona,-9.8,-139.0333,77.63,76,100,16.73,PF,1609901908
kaitangata,-46.2817,169.8464,64,79,58,10,NZ,1609901908
narsaq,60.9167,-46.05,21.2,44,32,2.24,GL,1609901909
dikson,73.5069,80.5464,19.8,97,100,25.1,RU,1609901909
pevek,69.7008,170.3133,-11.67,90,100,10.04,RU,1609901909
comillas,15.3982,120.7007,84.2,70,40,2.24,PH,1609901909
arraial do cabo,-22.9661,-42.0278,74.82,92,86,16.26,BR,1609901909
altamont,42.2068,-121.7372,37.4,74,90,5.5,US,1609901909
forest grove,45.5198,-123.1107,48,75,90,8.05,US,1609901909
kupang,-10.1667,123.5833,84.2,79,75,8.05,ID,1609901909
ponta do sol,32.6667,-17.1,64.4,77,75,6.93,PT,1609901909
provideniya,64.3833,-173.3,-4.49,84,0,9.19,RU,1609901909
namibe,-15.1961,12.1522,70.59,76,11,5.79,AO,1609901909
hamilton,39.1834,-84.5333,35.6,74,90,6.46,US,1609901786
inhambane,-23.865,35.3833,77.07,84,90,7.94,MZ,1609901910
oussouye,12.485,-16.5469,71.13,43,44,5.28,SN,1609901910
mataura,-46.1927,168.8643,68,76,61,7,NZ,1609901910
bambous virieux,-20.3428,57.7575,77,83,40,9.17,MU,1609901910
port alfred,-33.5906,26.891,64.99,92,68,9.35,ZA,1609901910
carnarvon,-24.8667,113.6333,91.4,38,50,16.11,AU,1609901910
qaqortoq,60.7167,-46.0333,21.2,44,37,2.24,GL,1609901910
mingshui,36.7167,117.5,24.01,42,0,4,CN,1609901910
lewiston,44.1003,-70.2148,28.99,92,90,9.17,US,1609901910
butaritari,3.0707,172.7902,81.91,76,0,19.66,KI,1609901910
broome,42.2506,-75.833,33.01,86,90,9.17,US,1609901911
sarkand,45.41,79.9186,10.02,71,100,1.63,KZ,1609901911
perth,-31.9333,115.8333,87.01,20,0,18.34,AU,1609901750
sorong,-0.8833,131.25,84.58,71,44,2.66,ID,1609901911
sao joao da barra,-21.6403,-41.0511,75.78,88,100,17.09,BR,1609901911
palana,59.1167,159.9667,-6.32,90,18,3.11,RU,1609901911
snyder,32.7179,-100.9176,50,61,1,6.93,US,1609901911
roanoke rapids,36.4615,-77.6542,39.99,93,90,6.93,US,1609901911
avarua,-21.2078,-159.775,84.2,74,24,13.87,CK,1609901911
gizo,-8.103,156.8419,86.25,69,92,6.38,SB,1609901911
east london,-33.0153,27.9116,71.01,72,74,12.66,ZA,1609901912
busselton,-33.65,115.3333,82,38,29,7,AU,1609901912
kroya,-7.6331,109.2461,87.73,61,50,1.81,ID,1609901912
pangkalanbuun,-2.6833,111.6167,90.64,59,100,1.45,ID,1609901645
mattru,7.6244,-11.8332,75.25,94,17,1.88,SL,1609901912
yumen,40.2833,97.2,3.74,67,64,16.91,CN,1609901912
port blair,11.6667,92.75,82.35,74,42,13.62,IN,1609901912
lavrentiya,65.5833,-171,-13.95,83,8,11.5,RU,1609901912
anadyr,64.75,177.4833,-18,75,0,2.24,RU,1609901912
nalut,30.3333,10.85,48.9,66,3,7.54,LY,1609901912
praia,14.9215,-23.5087,73.4,56,0,10.29,CV,1609901722
port elizabeth,-33.918,25.5701,62.6,93,20,4.7,ZA,1609901913
severo-kurilsk,50.6789,156.125,17.73,89,94,8.19,RU,1609901913
denpasar,-8.65,115.2167,86,79,40,4.7,ID,1609901630
yellowknife,62.456,-114.3525,-0.99,84,90,16.11,CA,1609901913
thompson,55.7435,-97.8558,8.6,92,90,4.7,CA,1609901913
mehamn,71.0357,27.8492,37.8,79,92,23,NO,1609901913
tuktoyaktuk,69.4541,-133.0374,-18.4,75,40,5.82,CA,1609901913
bredasdorp,-34.5322,20.0403,64.4,88,23,8.05,ZA,1609901913
kapaa,22.0752,-159.319,75.2,78,75,13.87,US,1609901913
fortuna,40.5982,-124.1573,51.8,57,1,21.92,US,1609901913
saint-philippe,-21.3585,55.7679,77,69,0,5.82,RE,1609901914
longyearbyen,78.2186,15.6401,19.4,79,75,11.41,SJ,1609901914
punta arenas,-53.15,-70.9167,53.6,66,75,13.87,CL,1609901914
kilis,36.7161,37.115,44.6,56,40,5.5,TR,1609901737
iskateley,67.6803,53.1512,-2.47,92,88,10.22,RU,1609901914
husavik,66.0449,-17.3389,33.8,69,75,4.7,IS,1609901914
pacifica,37.6138,-122.4869,54,76,75,4.7,US,1609901914
kruisfontein,-34.0033,24.7314,66.99,89,6,1.01,ZA,1609901914
vanimo,-2.6741,141.3028,86.25,65,100,7.05,PG,1609901914
lagoa,39.05,-27.9833,56.77,72,100,40.35,PT,1609901915
luderitz,-26.6481,15.1594,68,77,8,4.7,NA,1609901915
barrow,71.2906,-156.7887,-16.6,75,40,8.05,US,1609901915
otane,-39.8833,176.6333,80.22,38,96,5.66,NZ,1609901915
hami,42.8,93.45,12.4,58,4,7.61,CN,1609901915
oktyabrskiy,54.4815,53.471,6.08,93,100,7.67,RU,1609901915
tasiilaq,65.6145,-37.6368,17.6,57,94,10.29,GL,1609901915
saint george,37.1041,-113.5841,51.8,29,1,9.17,US,1609901732
west bay,19.3667,-81.4167,77,73,0,6.93,KY,1609901915
thinadhoo,0.5333,72.9333,82.87,76,99,12.82,MV,1609901915
mount isa,-20.7333,139.5,93.2,24,17,14.99,AU,1609901915
sabang,5.8933,95.3214,81.63,82,100,21.72,ID,1609901915
quelimane,-17.8786,36.8883,78.8,88,0,2.24,MZ,1609901916
ketchikan,55.3422,-131.6461,35.6,100,90,4.7,US,1609901916
liberal,37.0431,-100.921,51.8,37,1,21.92,US,1609901916
anito,12.4497,125.2886,84.45,69,64,10.18,PH,1609901916
ribeira grande,38.5167,-28.7,57.6,77,100,33.38,PT,1609901916
ormara,25.2088,64.6357,60.53,33,0,14.63,PK,1609901916
voznesenye,61.0106,35.4781,18.84,97,83,3.33,RU,1609901916
puerto carreno,6.189,-67.4859,77.86,69,0,7.9,CO,1609901916
new norfolk,-42.7826,147.0587,66,66,89,1.99,AU,1609901916
tual,-5.6667,132.75,84.6,73,83,10,ID,1609901916
olafsvik,64.8945,-23.7142,36.93,74,19,24.29,IS,1609901917
port shepstone,-30.7414,30.455,73.6,81,95,23,ZA,1609901917
ambon,-3.6954,128.1814,82.4,78,40,21.92,ID,1609901917
ati,13.2154,18.3353,71.19,21,0,9.6,TD,1609901917
vila do maio,15.1333,-23.2167,73.4,56,0,10.29,CV,1609901917
nanortalik,60.1432,-45.2371,26.06,89,24,5.84,GL,1609901917
qaanaaq,77.484,-69.3632,-3.39,74,100,7.47,GL,1609901917
flinders,-34.5833,150.8552,72,64,90,16.11,AU,1609901917
altamira,-3.2033,-52.2064,73.69,88,92,3.49,BR,1609901917
sur,22.5667,59.5289,65.77,47,0,10.09,OM,1609901917
chuy,-33.6971,-53.4616,72.18,85,95,13.47,UY,1609901917
hilo,19.7297,-155.09,78.8,65,75,11.41,US,1609901918
kavieng,-2.5744,150.7967,79.5,85,100,10.78,PG,1609901918
litovko,49.2361,135.1742,-7.8,74,0,1.54,RU,1609901918
kismayo,-0.3582,42.5454,76.6,80,88,15.17,SO,1609901918
bethel,41.3712,-73.414,34,74,90,5.82,US,1609901918
havre-saint-pierre,50.2334,-63.5986,10.4,85,1,3.36,CA,1609901918
port-gentil,-0.7193,8.7815,80.82,79,100,13.62,GA,1609901918
montemor-o-novo,38.6481,-8.2145,30.2,100,0,3.36,PT,1609901918
high level,58.5169,-117.136,3.2,91,90,4.7,CA,1609901850
tumaco,1.7986,-78.8156,75.38,88,100,9.78,CO,1609901918
hobart,-42.8794,147.3294,66,59,75,21.92,AU,1609901918
hobyo,5.3505,48.5268,73.58,73,87,18.9,SO,1609901918
tecoanapa,16.5167,-98.75,77.25,83,0,4.59,MX,1609901919
san juan,-31.5375,-68.5364,69.19,55,100,14.18,AR,1609901919
saint-pierre,-21.3393,55.4781,77,69,0,5.82,RE,1609901919
brigantine,39.4101,-74.3646,37.99,86,90,8.05,US,1609901919
klaksvik,62.2266,-6.589,42.8,100,100,17.22,FO,1609901919
saint-denis,48.9167,2.3333,37.99,86,90,4.7,FR,1609901919
port hardy,50.6996,-127.4199,41,93,90,18.34,CA,1609901782
altayskoye,51.9533,85.3325,-9.45,80,0,1.66,RU,1609901919
tiksi,71.6872,128.8694,-24.99,84,97,17.18,RU,1609901919
stromness,58.965,-3.296,35.6,93,99,3.36,GB,1609901919
reporoa,-38.4333,176.35,78.01,68,8,4,NZ,1609901919
namatanai,-3.6667,152.4333,77.13,90,100,5.03,PG,1609901919
tocopilla,-22.092,-70.1979,67.24,65,0,2.57,CL,1609901920
riyadh,24.6877,46.7219,51.8,66,0,2.24,SA,1609901865
petropavlovsk-kamchatskiy,53.0452,158.6483,19.4,85,90,4.47,RU,1609901920
nizhniy baskunchak,48.2198,46.8311,21.79,93,37,15.77,RU,1609901920
pizarro,4.9533,-77.366,73.11,90,93,4.12,CO,1609901920
taoudenni,22.6783,-3.9836,64.8,27,90,2.77,ML,1609901920
cidreira,-30.1811,-50.2056,71.96,89,100,13.11,BR,1609901920
katobu,-4.9408,122.5276,86.27,66,99,9.78,ID,1609901920
kurilsk,45.2333,147.8833,18.28,87,99,12.08,RU,1609901920
vaini,-21.2,-175.2,86,79,20,6.93,TO,1609901920
katsuura,35.1333,140.3,46,62,100,8.01,JP,1609901920
kaohsiung,22.6163,120.3133,69.8,60,75,3.36,TW,1609901921
manicore,-5.8092,-61.3003,74.16,95,63,1.28,BR,1609901921
sao felix do xingu,-6.6447,-51.995,72.48,92,9,1.72,BR,1609901921
